args,full_path,created,json,cookies,url,headers,method,remote_addr,files,form,id,provider,ip,requesting_ip,gn_classification
{},/.env?,2023-04-14 11:10:53.521878+00:00,{},{},http://34.170.96.166/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '51.79.29.48', 'Host': '34.170.96.166', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '51.79.29.48'}",GET,,{},{},feedda82-78b6-4bae-a7e5-d7809a6ca05d,GCP,,51.79.29.48,unknown
{},/well-known.zip?,2023-04-17 21:57:28.438241+00:00,{},{},http://20.169.235.233/well-known.zip,"{'Accept': 'text/plain,*/*; charset=utf-8', 'Upgrade-Insecure-Requests': '1', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36', 'X-Forwarded-For': '202.149.70.60', 'Host': '20.169.235.233', 'Accept-Encoding': 'text/plain,*/*; charset=utf-8', 'X-Real-Ip': '202.149.70.60'}",HEAD,,{},{},1a2eaeae-61ce-4b32-8124-784eab6d1537,Azure,,202.149.70.60,unknown
{},/?,2023-04-18 16:29:24.161108+00:00,{},{},http://35.184.200.155/,"{'Accept': '*/*', 'X-Requested-With': 'XMLHttpRequest', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46', 'X-Forwarded-For': '193.32.162.159', 'Host': '35.184.200.155', 'Accept-Encoding': 'gzip, deflate,gzip, deflate', 'Accept-Language': 'en US,en;q=0.9,sv;q=0.8', 'X-Real-Ip': '193.32.162.159', 'Content-Type': 'application/x-www-form-urlencoded; charset=UTF-8'}",GET,,{},{},14c1ce80-fa80-4ec0-8610-c22fa41618b9,GCP,,193.32.162.159,unknown
{},/.env?,2023-04-10 11:32:59.578755+00:00,{},{},http://3.86.163.161/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '4.154.83.105', 'Host': '3.86.163.161', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '4.154.83.105'}",GET,,{},{},4bc08a88-dc4d-43db-a087-eac3306ec0ba,AWS,,4.154.83.105,unknown
{},/.env?,2023-04-15 05:22:27.394188+00:00,{},{},http://20.169.235.248/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '51.79.29.48', 'Host': '20.169.235.248', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '51.79.29.48'}",GET,,{},{},a175459e-d709-4174-a311-41364890a06a,Azure,,51.79.29.48,unknown
{},/app.config.env?,2023-04-18 15:47:55.922900+00:00,{},{},http://20.169.235.68/app.config.env,"{'Accept': 'text/plain,*/*; charset=utf-8', 'Upgrade-Insecure-Requests': '1', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36', 'X-Forwarded-For': '202.149.70.60', 'Host': '20.169.235.68', 'Accept-Encoding': 'text/plain,*/*; charset=utf-8', 'X-Real-Ip': '202.149.70.60'}",GET,,{},{},941ce187-70fa-491e-829f-70910c4b860b,Azure,,202.149.70.60,unknown
{},/.env?,2023-04-09 21:12:22.833734+00:00,{},{},http://34.71.117.23/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '54.37.79.75', 'Host': '34.71.117.23', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '54.37.79.75'}",GET,,{},{},4d8859e4-412c-4b09-b308-905bc6a4b68e,GCP,,54.37.79.75,unknown
{},/.env?,2023-04-15 22:08:31.020916+00:00,{},{},http://54.166.141.59/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '185.254.196.173', 'Host': '54.166.141.59', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '185.254.196.173'}",GET,,{},{},b52375e2-e508-4452-9358-15df52e699b4,AWS,,185.254.196.173,unknown
{},/?,2023-04-14 08:02:24.602545+00:00,{},{},http://20.169.237.11/,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 zgrab/0.x', 'X-Forwarded-For': '107.170.240.28', 'Host': '20.169.237.11', 'Accept-Encoding': 'gzip', 'X-Real-Ip': '107.170.240.28'}",GET,,{},{},9fb4bd5e-2ff5-4471-81d7-30cf068e0b41,Azure,,107.170.240.28,malicious
{},/?,2023-04-15 14:31:24.581149+00:00,{},{},http://34.68.197.145/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'X-Forwarded-For': '167.248.133.125', 'Host': '34.68.197.145:80', 'X-Real-Ip': '167.248.133.125'}",GET,,{},{},faecc517-3980-487f-8105-86a301511f76,GCP,34.68.197.145,167.248.133.125,benign
